,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
21,海街diary　（1）　蝉時雨のやむ頃【期間限定　無料お試し版】,22922,11,  吉田秋生  ,,  小学館  ,flowers, 少女マンガ 少女コミック/少女コミック ファミリー/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/flowers,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/H4100050297361.jpg?20181213190709,https://www.ebookjapan.jp/ebj/22922/volume1/branch3/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42083526,2,無料,2018/12/27
22,東京アリス　1巻,20760,15,  稚野鳥子  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 仕事/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD579060.jpg?20181206175319,https://www.ebookjapan.jp/ebj/20760/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49051779,3,無料,2018/12/20
23,センセイ君主【期間限定無料】　1巻,215826,15,  幸田もも子  ,,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A4100049590861.jpg?20181130194145,https://www.ebookjapan.jp/ebj/215826/volume1/branch13/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42076358,2,無料,2018/12/17
24,欲張りなお作法　イジワルな手ほどき【期間限定　無料お試し版】　1巻,394217,4,  天音佑湖  ,,  小学館  ,モバフラ, 少女マンガ 少女コミック/少女コミック ラブストーリー/モバフラ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/L3100050684561.jpg?20181213190709,https://www.ebookjapan.jp/ebj/394217/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42087542,1,無料,2018/12/27
25,俺物語!!【期間限定無料】　1巻,147289,15,  作画：アルコ　,河原和音  ,  集英社  ,別冊マーガレット, 少女マンガ 少女コミック/少女コミック ラブコメ/少女コミック 学園/別冊マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/J6100050514661.jpg?20181213190709,https://www.ebookjapan.jp/ebj/147289/volume1/branch19/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42085760,2,無料,2018/12/25
26,ギルティ　～鳴かぬ蛍が身を焦がす～　分冊版　1巻,458717,14,  丘上あい  ,,  講談社  ,BE・LOVE, 女性マンガ レディースコミック/レディースコミック ラブストーリー/レディースコミック ドラマ/レディースコミック ミステリー・ホラー/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/W1100036169561.jpg?20181212163612,https://www.ebookjapan.jp/ebj/458717/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49878321,2,無料,2018/12/26
27,僕等がいた　1巻,21297,16,  小畑友紀  ,,  小学館  ,ベツコミ, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック 学園/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX272860.jpg?20181213182555,https://www.ebookjapan.jp/ebj/21297/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49053317,4,無料,2018/12/27
28,ぴんとこな　1巻,28242,16,  嶋木あこ  ,,  小学館  ,Cheese!, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/Cheese!,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX527060.jpg?20181206184525,https://www.ebookjapan.jp/ebj/28242/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49071560,3,無料,2018/12/20
29,彼方から　1巻,26625,7,  ひかわきょうこ  ,,  白泉社  ,花とゆめコミックス, 少女マンガ 少女コミック/少女コミック ラブストーリー/花とゆめコミックス/MELODY/花とゆめコミックススペシャル,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS29160.jpg?20181211174335,https://www.ebookjapan.jp/ebj/26625/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49066505,1,無料,2018/12/25
30,［試し読み増量版］ながたんと青と－いちかの料理帖－　1巻,463089,4,  磯谷友紀  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 料理/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/U9100049042361.jpg?20181129181041,https://www.ebookjapan.jp/ebj/463089/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42070787,2,無料,2019/02/07
31,月のしっぽ【期間限定無料】　1巻,141932,19,  上田倫子  ,,  集英社  ,マーガレット, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 時代劇/マーガレット/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I5100050403861.jpg?20181207213022,https://www.ebookjapan.jp/ebj/141932/volume1/branch11/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084620,4,無料,2018/12/25
32,【期間限定　試し読み増量版】亡国のマルグリット　1巻,517737,2,  すもももも  ,,  秋田書店  ,プリンセス, 少女マンガ 少女コミック/プリンセス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/L5100050701761.jpg?20181214181852,https://www.ebookjapan.jp/ebj/517737/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42087728,1,無料,2018/12/28
33,カーテン・コール　1巻,323151,26,  三原陽子  ,,  講談社  ,BE・LOVE, 女性マンガ 少女コミック/レディースコミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 仕事/レディースコミック ラブストーリー/レディースコミック ドラマ/レディースコミック 仕事/BE・LOVE,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/V1100004816961.jpg?20181207174200,https://www.ebookjapan.jp/ebj/323151/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49550728,3,無料,2018/12/23
34,［試し読み増量版］ホタルノヒカリＢＡＢＹ　1巻,449531,4,  ひうらさとる  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/少女コミック ファミリー/少女コミック ラブストーリー/少女コミック ラブコメ/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/U9100049042461.jpg?20181129181041,https://www.ebookjapan.jp/ebj/449531/volume1/branch2/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42070788,2,無料,2019/02/07
