,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
75,シリーズ書籍一覧 72冊を配信中 ,145353,72,  岸本斉史  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/アクション/週刊少年ジャンプ/ジャンプコミックスDIGITAL/集英社カラー版/フルカラー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR255360.jpg?20171117193642,https://www.ebookjapan.jp/ebj/145353/,,0,有料,
76,シリーズ書籍一覧 22冊を配信中 ,141797,22,  三条陸　稲田浩司　堀井雄二  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/アクション/ファンタジー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR195860.jpg?20171117193641,https://www.ebookjapan.jp/ebj/141797/,,0,有料,
77,シリーズ書籍一覧 24冊を配信中 ,243438,24,  著者：安彦良和 原案：矢立肇 原案：富野由悠季 メカニックデザイン：大河原邦男  ,,  KADOKAWA / 角川書店  ,角川コミックス・エース, 少年マンガ 少年マンガ/ＳＦ/アクション/メカニック/ヒーロー/戦争/角川コミックス・エース/KADOKAWA/KADOKAWA / マンガ/新春ガンダムコミックフェア,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KK415460.jpg?20181109191531,https://www.ebookjapan.jp/ebj/243438/,,0,有料,
78,【完結済み】暗殺教室　1巻,142346,24,  松井優征  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/アクション/ミステリー・ホラー/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR221160.jpg?20171117193641,https://www.ebookjapan.jp/ebj/142346/,,3,有料,
79,シリーズ書籍一覧 61冊を配信中 ,22299,61,  松江名俊  ,,  小学館  ,少年サンデー, 少年マンガ 長編マンガ/少年マンガ/アクション/ラブコメ/ギャグ・コメディー/学園/少年サンデー,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SX324960.jpg?20181115173043,https://www.ebookjapan.jp/ebj/22299/,,0,有料,
80,シリーズ書籍一覧 30冊を配信中 ,132081,30,  藤巻忠俊  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/スポーツ/学園/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR013460.jpg?20171214133210,https://www.ebookjapan.jp/ebj/132081/,,0,有料,
81,【最新刊】銀魂 モノクロ版　75巻,132910,78,  空知英秋  ,,  集英社  ,週刊少年ジャンプ, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ＳＦ/ギャグ・コメディー/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/O5100043203661.jpg?20181003132718,https://www.ebookjapan.jp/ebj/132910/,,3,有料,
82,シリーズ書籍一覧 34冊を配信中 ,21713,34,  宮下あきら  ,,  サード・ライン  ,, 少年マンガ 少年マンガ/アクション/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/MYA01360.jpg?20181208213018,https://www.ebookjapan.jp/ebj/21713/,,0,有料,
83,シリーズ書籍一覧 31冊を配信中 ,21878,31,  板垣恵介  ,,  秋田書店  ,週刊少年チャンピオン, 少年マンガ 長編マンガ/少年マンガ/アクション/週刊少年チャンピオン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/AKT69960.jpg?20181127190306,https://www.ebookjapan.jp/ebj/21878/,,0,有料,
84,シリーズ書籍一覧 16冊を配信中 ,401,16,  手塚　治虫  ,,  手塚プロダクション  ,手塚治虫漫画全集, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ＳＦ/ファンタジー/ミステリー・ホラー/歴史/昭和の名作1930～50年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HINO0160.jpg?20181101164217,https://www.ebookjapan.jp/ebj/401/,,0,有料,
