,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
39,ドメスティックな彼女　1巻,247506,28,  流石景  ,,  講談社  ,週刊少年マガジン, 少年マンガ 少年マンガ/ラブストーリー/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KA340060.jpg?20181213180814,https://www.ebookjapan.jp/ebj/247506/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49279872,3,無料,2018/12/27
40,【割引版】間違った子を魔法少女にしてしまった　1巻,406653,5,  双龍  ,,  新潮社  ,くらげバンチ, 青年マンガ 青年マンガ/くらげバンチ/バンチコミックス,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/Z1100023461161.jpg?20181206185224,https://www.ebookjapan.jp/ebj/406653/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=40743536,1,無料,2018/12/20
41,FAIRY TAIL　1巻,21395,63,  真島ヒロ  ,,  講談社  ,週刊少年マガジン, 少年マンガ ベストセラー/長編マンガ/少年マンガ/ファンタジー/週刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD596560.jpg?20181213180814,https://www.ebookjapan.jp/ebj/21395/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49053589,3,無料,2018/12/27
42,ダンジョンに出会いを求めるのは間違っているだろうか　1巻,202651,10,  原作:大森藤ノ（GA文庫／SBクリエイティブ）　キャラクター原案:ヤスダスズヒト　漫画：九二枝  ,,  スクウェア・エニックス  ,ヤングガンガン, 青年マンガ 青年マンガ/アクション/ファンタジー/ヤングガンガン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/EX115660.jpg?20181213182556,https://www.ebookjapan.jp/ebj/202651/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49206488,1,無料,2018/12/27
43,彼方のアストラ 全巻合本版【期間限定試し読み増量】,517016,2,  篠原健太  ,,  集英社  ,少年ジャンプ+, 少年マンガ 少年マンガ/ＳＦ/ジャンプコミックスDIGITAL/少年ジャンプ+,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I8100050431361.jpg?20181211174337,https://www.ebookjapan.jp/ebj/517016/volume1/branch1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084902,1,無料,2019/01/04
44,アド・アストラ　―スキピオとハンニバル―【期間限定無料】　1巻,146514,15,  カガノミハチ  ,,  集英社  ,ウルトラジャンプ, 青年マンガ 青年マンガ/アクション/歴史/ウルトラジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/I4100050395261.jpg?20181207213022,https://www.ebookjapan.jp/ebj/146514/volume1/branch13/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42084533,2,無料,2018/12/25
45,capeta　1巻,10285,32,  曽田正人  ,,  講談社  ,月刊少年マガジン, 少年マンガ 長編マンガ/少年マンガ/アクション/メカニック/スポーツ/月刊少年マガジン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD072460.jpg?20181213180814,https://www.ebookjapan.jp/ebj/10285/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49021968,3,無料,2018/12/27
46,食戟のソーマ【期間限定無料】　1巻,170105,36,  ,附田祐斗　作画：佐伯俊　協力：森崎友紀  ,  集英社  ,週刊少年ジャンプ, 少年マンガ 少年マンガ/学園/料理/週刊少年ジャンプ/ジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E3100049987061.jpg?20181203213018,https://www.ebookjapan.jp/ebj/170105/volume1/branch19/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42080367,4,無料,2018/12/17
47,【割引版】いつかティファニーで朝食を　1巻,244133,13,  マキヒロチ  ,,  新潮社  ,BUNCH COMICS, 青年マンガ 青年マンガ/BUNCH COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/5T200860.jpg?20181206185224,https://www.ebookjapan.jp/ebj/244133/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49274401,3,無料,2018/12/20
48,ドラゴンボール超【期間限定無料】　1巻,361223,10,  漫画：とよたろう　,鳥山明  ,  集英社  ,Ｖジャンプ, 少年マンガ 少年マンガ/アクション/ジャンプコミックスDIGITAL/Ｖジャンプ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/A3100049585761.jpg?20181130193305,https://www.ebookjapan.jp/ebj/361223/volume1/branch7/,/ebj/tachiyomi/additem.asp?tachiyomi_id=42076307,2,無料,2018/12/17
49,ウィッチクラフトワークス　1巻,25886,13,  水薙竜  ,,  講談社  ,good！アフタヌーン, 青年マンガ 青年マンガ/アクション/ファンタジー/学園/アフタヌーン/good！アフタヌーン,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD731960.jpg?20181213180814,https://www.ebookjapan.jp/ebj/25886/volume1/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49065167,2,無料,2018/12/27
