,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
15,【完結済み】ヤマトナデシコ七変化　1巻,12944,36,  はやかわともこ  ,,  講談社  ,別冊フレンド, 少女マンガ ベストセラー/少女コミック/少女コミック ラブコメ/少女コミック ヒーロー・ヒロイン/少女コミック コメディ/レディースコミック ラブコメ/レディースコミック ヒーロー・ヒロイン/レディースコミック コメディ/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD291960.jpg?20181207174200,https://www.ebookjapan.jp/ebj/12944/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49031289,3,無料,2018/12/23
16,シリーズ書籍一覧 13冊を配信中 ,132119,13,  いくえみ綾  ,,  集英社  ,Cookie, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 学園/Cookie/マーガレットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR035960.jpg?20171117193635,https://www.ebookjapan.jp/ebj/132119/,,0,有料,
17,シリーズ書籍一覧 12冊を配信中 ,246700,12,  清水玲子  ,,  白泉社  ,MELODY, 少女マンガ 少女コミック/少女コミック SF/少女コミック ドラマ/少女コミック ミステリー・ホラー/少女コミック 探偵・刑事/MELODY/JETS COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HA133160.jpg?20180906183738,https://www.ebookjapan.jp/ebj/246700/,,0,有料,
18,シリーズ書籍一覧 8冊を配信中 ,263576,8,  二ノ宮知子  ,,  講談社  ,Kiss, 少女マンガ 少女コミック/レディースコミック/少女コミック ドラマ/少女コミック 仕事/レディースコミック ドラマ/レディースコミック 仕事/Kiss,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/R1100043465661.jpg?20181011162626,https://www.ebookjapan.jp/ebj/263576/,,0,有料,
19,シリーズ書籍一覧 18冊を配信中 ,25896,18,  葉鳥ビスコ  ,,  白泉社  ,花とゆめコミックス, 少女マンガ ベストセラー/長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック ラブコメ/少女コミック 学園/花とゆめコミックス/LaLa,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS19360.jpg?20180816213019,https://www.ebookjapan.jp/ebj/25896/,,0,有料,
20,モバフラ 2018年47号,194630,264,  モバフラ編集部　悠妃りゅう　桃乃みく　時山はじめ　かれん　五条うるの  ,,  小学館  ,モバフラ, 女性マンガ誌 少女コミック/レディースコミック/少女コミック ラブストーリー/レディースコミック ラブストーリー/モバフラ/マンガ雑誌/コミック誌（女性）,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/E5100050004461.jpg?20181214173922,https://www.ebookjapan.jp/ebj/194630/volume264/,,0,有料,
21,シリーズ書籍一覧 42冊を配信中 ,22186,42,  渡辺多恵子  ,,  小学館  ,flowers, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック 歴史/少女コミック 時代劇/flowers/ベツコミ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/S8100043636161.jpg?20181111213106,https://www.ebookjapan.jp/ebj/22186/,,0,有料,
22,シリーズ書籍一覧 15冊を配信中 ,27454,15,  日渡早紀  ,,  白泉社  ,花とゆめコミックス, 少女マンガ 少女コミック/少女コミック SF/少女コミック ファンタジー/少女コミック ファミリー/花とゆめコミックス/別冊花とゆめ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS47460.jpg?20180719213017,https://www.ebookjapan.jp/ebj/27454/,,0,有料,
23,シリーズ書籍一覧 15冊を配信中 ,26682,15,  弓きいろ　,有川 浩  ,  白泉社  ,花とゆめコミックス, 少女マンガ 長編マンガ/少女コミック/少女コミック SF/少女コミック ラブストーリー/花とゆめコミックス/LaLa,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS36260.jpg?20171125213052,https://www.ebookjapan.jp/ebj/26682/,,0,有料,
24,【完結済み】シックス ハーフ　1巻,157309,13,  池谷理香子  ,,  集英社  ,Cookie, 少女マンガ 少女コミック/少女コミック ラブストーリー/少女コミック 学園/少女コミック 仕事/Cookie/りぼんマスコットコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR334160.jpg?20171117193644,https://www.ebookjapan.jp/ebj/157309/,,2,有料,
25,【完結済み】MARS　1巻,10801,16,  惣領冬実  ,,  講談社  ,別冊フレンド, 少女マンガ 長編マンガ/少女コミック/少女コミック ラブストーリー/少女コミック ドラマ/少女コミック 学園/別冊フレンド,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD112060.jpg?20181207174200,https://www.ebookjapan.jp/ebj/10801/,/ebj/tachiyomi/additem.asp?tachiyomi_id=49023814,3,無料,2018/12/23
