,漫画タイトル,シリーズID,ISBN,漫画家,原作者,出版社,掲載雑誌,ジャンル,書影URL,タイトルURL,立ち読みURL,無料で読める巻数,無料キャンペーン中のタイトルなのか,無料期限
96,シリーズ書籍一覧 17冊を配信中 ,2822,17,  弘兼憲史  ,,  講談社  ,モーニング, 青年マンガ ベストセラー/長編マンガ/青年マンガ/ヒーロー/仕事/モーニング/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/SHIM0160.jpg?20181214181852,https://www.ebookjapan.jp/ebj/2822/,,0,有料,
97,シリーズ書籍一覧 49冊を配信中 ,134313,49,  迫稔雄  ,,  集英社  ,週刊ヤングジャンプ, 青年マンガ 長編マンガ/青年マンガ/ギャンブル/週刊ヤングジャンプ/ヤングジャンプコミックスDIGITAL,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/RR091060.jpg?20180212213528,https://www.ebookjapan.jp/ebj/134313/,,0,有料,
98,もうすぐ発売予定のシリーズ書籍,199496,13,  羽海野チカ  ,,  白泉社  ,ヤングアニマル, 青年マンガ 青年マンガ/少女コミック/ラブストーリー/ラブコメ/人情/仕事/ヤングアニマル/JETS COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/P4100027694661.jpg?20180211213549,https://www.ebookjapan.jp/ebj/199496/,,0,有料,
99,シリーズ書籍一覧 24冊を配信中 ,339,24,  作：倉科　遼　画：和気　一作  ,,  芳文社  ,芳文社コミックス, 青年マンガ ベストセラー/青年マンガ/ラブストーリー/社会派/ネオン街/芳文社コミックス/帰ってきた漫画サンデー掲載作品,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/JOTE0160.jpg?20180827141017,https://www.ebookjapan.jp/ebj/339/,,0,有料,
100,シリーズ書籍一覧 7冊を配信中 ,4146,7,  遊人  ,, ,, 青年マンガ 青年マンガ/ラブストーリー/ラブコメ/学園,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/UJIN3060.jpg?20180827170220,https://www.ebookjapan.jp/ebj/4146/,,0,有料,
101,シリーズ書籍一覧 25冊を配信中 ,10106,25,  ,西村ミツル　漫画：かわすみひろし  ,  講談社  ,モーニング, 青年マンガ 長編マンガ/青年マンガ/社会派/仕事/料理/モーニング,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD063760.jpg?20181019233035,https://www.ebookjapan.jp/ebj/10106/,,0,有料,
102,シリーズ書籍一覧 11冊を配信中 ,249937,11,  著者：藍屋球　,アネコユサギ　キャラクター原案：弥南せいら  ,  KADOKAWA / メディアファクトリー  ,MFコミックス　フラッパーシリーズ, 青年マンガ 青年マンガ/ファンタジー/MFコミックス　フラッパーシリーズ/KADOKAWA/KADOKAWA / マンガ,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/X9100038944761.jpg?20180720164439,https://www.ebookjapan.jp/ebj/249937/,,0,有料,
103,シリーズ書籍一覧 17冊を配信中 ,27488,17,  森恒二  ,,  白泉社  ,ヤングアニマル, 青年マンガ 青年マンガ/ＳＦ/アクション/ファンタジー/ヤングアニマル/JETS COMICS,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/HSS42160.jpg?20180802190127,https://www.ebookjapan.jp/ebj/27488/,,0,有料,
104,シリーズ書籍一覧 48冊を配信中 ,12496,48,  きうちかずひろ  ,,  講談社  ,ヤングマガジン, 青年マンガ ベストセラー/長編マンガ/青年マンガ/アクション/学園/ヤングマガジン/昭和の名作1980年代,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/KD240460.jpg?20181020213056,https://www.ebookjapan.jp/ebj/12496/,,0,有料,
105,シリーズ書籍一覧 50冊を配信中 ,11976,50,  著：天獅子悦也  ,,  竹書房  ,近代麻雀, 青年マンガ 長編マンガ/青年マンガ/ギャンブル/近代麻雀,https:////cache2-ebookjapan.akamaized.net/contents/thumb/l/L9100050744261.jpg?20181214173923,https://www.ebookjapan.jp/ebj/11976/,,0,有料,
